Country,Real coffee,Instant coffee,Tea,Sweetener,Biscuits,Powder soup,Tin soup,Potatoes,Frozen fish,Apples,Oranges,Tinned fruit,Jam,Garlic,Butter
Germany,90,49,88,19,57,57,51,19,21,27,81,75,44,71,22
Italy,82,10,60,2,,55,41,3,2,4,67,71,9,46,80
France,88,42,63,4,76,76,53,11,23,11,87,84,40,45,88
Holland,96,62,98,32,62,62,67,43,7,14,83,89,61,81,31
Belgium,94,38,48,11,74,74,37,23,9,13,76,76,42,57,29
Luxembourg,97,61,86,28,79,79,73,12,7,26,85,94,83,91,84
England,27,86,99,22,91,91,55,76,17,20,76,68,89,91,95
Portugal,72,26,77,,22,22,34,1,5,20,22,51,,16,65
Austria,55,31,61,15,29,29,33,1,5,15,49,42,14,51,51
Switzerland,73,72,85,25,31,31,69,10,17,19,79,70,46,64,82
Denmark,96,17,93,35,66,66,32,17,17,51,81,72,50,64,64
Norway,92,83,83,13,62,62,51,4,5,30,61,34,34,11,51
Ireland,30,52,99,11,80,80,75,18,18,5,57,52,46,89,97
